Balaenoptera Balaenoptera musculus 154321304.5
Balaena Balaena mysticetus 79691178.99
Balaenoptera Balaenoptera omurai 49904131.648
Balaenoptera Balaenoptera bonaerensis 49904131.648
Balaenoptera Balaenoptera physalus 47506008.23
Caperea Caperea marginata 31999999.98
Megaptera Megaptera novaeangliae 30000000.01
Eschrichtius Eschrichtius robustus 27324024.19
Eubalaena Eubalaena japonica 22999999.91
Eubalaena Eubalaena glacialis 22999999.91
