kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,scientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year,basisOfRecord,institutionCode,catalogNumber,identifiedBy,dateIdentified,rightsHolder,recordedBy
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus bifarius,,"Bombus bifarius Cresson, 1878",El Dorado County,California,,,1916-07-04T00:00:00Z,4,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS17161,J.B. Koch 2010,,,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus occidentalis,,"Bombus occidentalis Greene, 1858",Humboldt County,California,,,1932-09-11T00:00:00Z,11,9,1932,PRESERVED_SPECIMEN,USDA-ARS,JPS20250,R.S. Jacobson 1991,,,R. VanDuzen
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Humboldt County,California,,,1933-03-19T00:00:00Z,19,3,1933,PRESERVED_SPECIMEN,USDA-ARS,JPS26347,R.S. Jacobson 1991,,,R. VanDuzen
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25332,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25331,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25330,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25329,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25328,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25327,R.W. Thorp 1968,,,A.C. Brown
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Alpine County,California,,,1916-07-19T00:00:00Z,19,7,1916,PRESERVED_SPECIMEN,USDA-ARS,JPS25325,R.W. Thorp 1968,,,A.C. Brown
